Language,Rating Definition,mapping,auc,number_of_samples,feature_name
Punjabi,is_vp_succ,3531454,0.8137729454225077,53989261,trendingfeed_suggested
Punjabi,is_vp_succ,3531451,0.8006362782544163,713484,profilepost
Punjabi,is_vp_succ,3531452,0.7742108925572512,2202451,tagfeed
Punjabi,is_vp_succ,3531449,0.8014544547863441,4143974,bucket
Punjabi,is_vp_succ,3531450,0.7992111061783238,4084471,others
Punjabi,is_vp_succ,3531455,0.8020201151644824,1912159,videofeed
Punjabi,is_vp_succ,3531453,0.8340323834279912,3509064,trendingfeed
Punjabi,is_vp_succ,3531456,0.8128129541747124,21932496,videofeed_suggested
Punjabi,is_like,1952853,0.9185075595817213,42439729,trendingfeed_suggested
Punjabi,is_like,1952850,0.8670986174229314,603111,profilepost
Punjabi,is_like,1952852,0.9025872533389416,2682952,trendingfeed
Punjabi,is_like,1952848,0.910407346912844,3186524,bucket
Punjabi,is_like,1952855,0.9076057216925396,17430364,videofeed_suggested
Punjabi,is_like,1952849,0.9050590174026362,3127039,others
Punjabi,is_like,1952851,0.9023595024252918,1615055,tagfeed
Punjabi,is_like,1952854,0.8990623969847198,1401790,videofeed
Punjabi,is_vp_skip,4021918,0.7129024343094871,55678330,trendingfeed_suggested
Punjabi,is_vp_skip,4021916,0.698120917689309,2290190,tagfeed
Punjabi,is_vp_skip,4021914,0.7056274080935372,4366133,others
Punjabi,is_vp_skip,4021919,0.6646964657549337,1959261,videofeed
Punjabi,is_vp_skip,4021913,0.7083699733836861,4314507,bucket
Punjabi,is_vp_skip,4021917,0.7245174315030971,3690147,trendingfeed
Punjabi,is_vp_skip,4021915,0.6871717239310906,744081,profilepost
Punjabi,is_vp_skip,4021920,0.7039126556161154,22557086,videofeed_suggested
Punjabi,is_vp_succ2,3633357,0.795230812528042,55462319,trendingfeed_suggested
Punjabi,is_vp_succ2,3633354,0.7869970237759806,736678,profilepost
Punjabi,is_vp_succ2,3633355,0.7809542579802085,2265815,tagfeed
Punjabi,is_vp_succ2,3633353,0.7807042544158624,4322243,others
Punjabi,is_vp_succ2,3633356,0.7796719214824537,3578442,trendingfeed
Punjabi,is_vp_succ2,3633359,0.7929648229086617,22444990,videofeed_suggested
Punjabi,is_vp_succ2,3633358,0.7713877487171834,1946664,videofeed
Punjabi,is_vp_succ2,3633352,0.7880224381519856,4277599,bucket
Bengali,is_vp_succ,1974602,0.8207232358348622,187308,profilepost
Bengali,is_vp_succ,1974603,0.8005293815330263,404392,tagfeed
Bengali,is_vp_succ,1974606,0.8298980112001033,632503,videofeed
Bengali,is_vp_succ,1974604,0.8435201602113408,1017231,trendingfeed
Bengali,is_vp_succ,1974605,0.8296881532937763,17750572,trendingfeed_suggested
Bengali,is_vp_succ,1974600,0.8203254442727194,1766976,bucket
Bengali,is_vp_succ,1974607,0.8421786957085203,7780777,videofeed_suggested
Bengali,is_vp_succ,1974601,0.817583923906216,1019904,others
Bengali,is_like,811411,0.8847589828361969,143573,profilepost
Bengali,is_like,811412,0.9085831152367787,242649,tagfeed
Bengali,is_like,811415,0.890424755004583,397306,videofeed
Bengali,is_like,811410,0.9008881537702075,716970,others
Bengali,is_like,811413,0.8992351985297956,693969,trendingfeed
Bengali,is_like,811409,0.9037379914087276,1174005,bucket
Bengali,is_like,811416,0.9002747482453154,5181537,videofeed_suggested
Bengali,is_like,811414,0.9124935601851885,12729830,trendingfeed_suggested
Bengali,is_vp_skip,2142295,0.7091212220483506,209586,profilepost
Bengali,is_vp_skip,2142296,0.7083351122836242,445819,tagfeed
Bengali,is_vp_skip,2142298,0.7251878189173242,19573972,trendingfeed_suggested
Bengali,is_vp_skip,2142297,0.6546118457730364,1111886,trendingfeed
Bengali,is_vp_skip,2142300,0.7060452354665598,8607340,videofeed_suggested
Bengali,is_vp_skip,2142299,0.6524657433710431,697228,videofeed
Bengali,is_vp_skip,2142294,0.7156775036919862,1194488,others
Bengali,is_vp_skip,2142293,0.7138877771906121,1923463,bucket
Bengali,is_vp_succ2,2032313,0.7996167899997082,204891,profilepost
Bengali,is_vp_succ2,2032314,0.8017845811589979,436405,tagfeed
Bengali,is_vp_succ2,2032317,0.805575949009637,682782,videofeed
Bengali,is_vp_succ2,2032316,0.8280315908630705,19303940,trendingfeed_suggested
Bengali,is_vp_succ2,2032312,0.8119998933774272,1167112,others
Bengali,is_vp_succ2,2032315,0.8072163423090388,1097863,trendingfeed
Bengali,is_vp_succ2,2032311,0.8196674428292237,1897743,bucket
Bengali,is_vp_succ2,2032318,0.8282299552058602,8436257,videofeed_suggested
Malayalam,is_vp_succ,2570565,0.8379976146114785,6728094,others
Malayalam,is_vp_succ,2570571,0.8425178169039472,9919166,videofeed_suggested
Malayalam,is_vp_succ,2570569,0.8540437456971507,27110823,trendingfeed_suggested
Malayalam,is_vp_succ,2570567,0.83989978625921,4934742,tagfeed
Malayalam,is_vp_succ,2570564,0.839940972262717,1681445,bucket
Malayalam,is_vp_succ,2570570,0.8321584379824322,871270,videofeed
Malayalam,is_vp_succ,2570566,0.8377216646423993,339729,profilepost
Malayalam,is_vp_succ,2570568,0.8900230374422294,770504,trendingfeed
Malayalam,is_like,1062614,0.910552982432611,953101,bucket
Malayalam,is_like,1062615,0.9173084987969288,4429763,others
Malayalam,is_like,1062617,0.9164105569127844,3168188,tagfeed
Malayalam,is_like,1062620,0.9034882144009441,505405,videofeed
Malayalam,is_like,1062616,0.8943240811593456,251402,profilepost
Malayalam,is_like,1062618,0.9112718641801325,461810,trendingfeed
Malayalam,is_like,1062621,0.9184207347549987,6348368,videofeed_suggested
Malayalam,is_like,1062619,0.9269757773468892,17344798,trendingfeed_suggested
Malayalam,is_vp_skip,2882266,0.7139211543594997,372680,profilepost
Malayalam,is_vp_skip,2882269,0.737196956058676,28499427,trendingfeed_suggested
Malayalam,is_vp_skip,2882270,0.6894540158262782,897898,videofeed
Malayalam,is_vp_skip,2882264,0.7191761713476862,1784442,bucket
Malayalam,is_vp_skip,2882271,0.7265115237073321,10231725,videofeed_suggested
Malayalam,is_vp_skip,2882265,0.7356149344407615,7385993,others
Malayalam,is_vp_skip,2882268,0.7097331592263301,816089,trendingfeed
Malayalam,is_vp_skip,2882267,0.7356388572512081,5358041,tagfeed
Malayalam,is_vp_succ2,2674795,0.8198829167037859,7232844,others
Malayalam,is_vp_succ2,2674801,0.8260411829907779,10134659,videofeed_suggested
Malayalam,is_vp_succ2,2674799,0.8403098832192754,28246398,trendingfeed_suggested
Malayalam,is_vp_succ2,2674797,0.8257059219060765,5254551,tagfeed
Malayalam,is_vp_succ2,2674800,0.8131659286395749,888252,videofeed
Malayalam,is_vp_succ2,2674798,0.853022468040616,795724,trendingfeed
Malayalam,is_vp_succ2,2674794,0.8184603077372672,1757940,bucket
Malayalam,is_vp_succ2,2674796,0.8232655907017024,362821,profilepost
