Language,Rating Definition,referrer,auc,number_of_samples
Punjabi,is_vp_succ,trendingfeed_suggested,0.8137729454225077,53989261
Punjabi,is_vp_succ,profilepost,0.8006362782544163,713484
Punjabi,is_vp_succ,tagfeed,0.7742108925572512,2202451
Punjabi,is_vp_succ,bucket,0.8014544547863441,4143974
Punjabi,is_vp_succ,others,0.7992111061783238,4084471
Punjabi,is_vp_succ,videofeed,0.8020201151644824,1912159
Punjabi,is_vp_succ,trendingfeed,0.8340323834279912,3509064
Punjabi,is_vp_succ,videofeed_suggested,0.8128129541747124,21932496
Punjabi,is_like,trendingfeed_suggested,0.9185075595817213,42439729
Punjabi,is_like,profilepost,0.8670986174229314,603111
Punjabi,is_like,trendingfeed,0.9025872533389416,2682952
Punjabi,is_like,bucket,0.910407346912844,3186524
Punjabi,is_like,videofeed_suggested,0.9076057216925396,17430364
Punjabi,is_like,others,0.9050590174026362,3127039
Punjabi,is_like,tagfeed,0.9023595024252918,1615055
Punjabi,is_like,videofeed,0.8990623969847198,1401790
Punjabi,is_vp_skip,trendingfeed_suggested,0.7129024343094871,55678330
Punjabi,is_vp_skip,tagfeed,0.698120917689309,2290190
Punjabi,is_vp_skip,others,0.7056274080935372,4366133
Punjabi,is_vp_skip,videofeed,0.6646964657549337,1959261
Punjabi,is_vp_skip,bucket,0.7083699733836861,4314507
Punjabi,is_vp_skip,trendingfeed,0.7245174315030971,3690147
Punjabi,is_vp_skip,profilepost,0.6871717239310906,744081
Punjabi,is_vp_skip,videofeed_suggested,0.7039126556161154,22557086
Punjabi,is_vp_succ2,trendingfeed_suggested,0.795230812528042,55462319
Punjabi,is_vp_succ2,profilepost,0.7869970237759806,736678
Punjabi,is_vp_succ2,tagfeed,0.7809542579802085,2265815
Punjabi,is_vp_succ2,others,0.7807042544158624,4322243
Punjabi,is_vp_succ2,trendingfeed,0.7796719214824537,3578442
Punjabi,is_vp_succ2,videofeed_suggested,0.7929648229086617,22444990
Punjabi,is_vp_succ2,videofeed,0.7713877487171834,1946664
Punjabi,is_vp_succ2,bucket,0.7880224381519856,4277599
Bengali,is_vp_succ,profilepost,0.8207232358348622,187308
Bengali,is_vp_succ,tagfeed,0.8005293815330263,404392
Bengali,is_vp_succ,videofeed,0.8298980112001033,632503
Bengali,is_vp_succ,trendingfeed,0.8435201602113408,1017231
Bengali,is_vp_succ,trendingfeed_suggested,0.8296881532937763,17750572
Bengali,is_vp_succ,bucket,0.8203254442727194,1766976
Bengali,is_vp_succ,videofeed_suggested,0.8421786957085203,7780777
Bengali,is_vp_succ,others,0.817583923906216,1019904
Bengali,is_like,profilepost,0.8847589828361969,143573
Bengali,is_like,tagfeed,0.9085831152367787,242649
Bengali,is_like,videofeed,0.890424755004583,397306
Bengali,is_like,others,0.9008881537702075,716970
Bengali,is_like,trendingfeed,0.8992351985297956,693969
Bengali,is_like,bucket,0.9037379914087276,1174005
Bengali,is_like,videofeed_suggested,0.9002747482453154,5181537
Bengali,is_like,trendingfeed_suggested,0.9124935601851885,12729830
Bengali,is_vp_skip,profilepost,0.7091212220483506,209586
Bengali,is_vp_skip,tagfeed,0.7083351122836242,445819
Bengali,is_vp_skip,trendingfeed_suggested,0.7251878189173242,19573972
Bengali,is_vp_skip,trendingfeed,0.6546118457730364,1111886
Bengali,is_vp_skip,videofeed_suggested,0.7060452354665598,8607340
Bengali,is_vp_skip,videofeed,0.6524657433710431,697228
Bengali,is_vp_skip,others,0.7156775036919862,1194488
Bengali,is_vp_skip,bucket,0.7138877771906121,1923463
Bengali,is_vp_succ2,profilepost,0.7996167899997082,204891
Bengali,is_vp_succ2,tagfeed,0.8017845811589979,436405
Bengali,is_vp_succ2,videofeed,0.805575949009637,682782
Bengali,is_vp_succ2,trendingfeed_suggested,0.8280315908630705,19303940
Bengali,is_vp_succ2,others,0.8119998933774272,1167112
Bengali,is_vp_succ2,trendingfeed,0.8072163423090388,1097863
Bengali,is_vp_succ2,bucket,0.8196674428292237,1897743
Bengali,is_vp_succ2,videofeed_suggested,0.8282299552058602,8436257
Malayalam,is_vp_succ,others,0.8379976146114785,6728094
Malayalam,is_vp_succ,videofeed_suggested,0.8425178169039472,9919166
Malayalam,is_vp_succ,trendingfeed_suggested,0.8540437456971507,27110823
Malayalam,is_vp_succ,tagfeed,0.83989978625921,4934742
Malayalam,is_vp_succ,bucket,0.839940972262717,1681445
Malayalam,is_vp_succ,videofeed,0.8321584379824322,871270
Malayalam,is_vp_succ,profilepost,0.8377216646423993,339729
Malayalam,is_vp_succ,trendingfeed,0.8900230374422294,770504
Malayalam,is_like,bucket,0.910552982432611,953101
Malayalam,is_like,others,0.9173084987969288,4429763
Malayalam,is_like,tagfeed,0.9164105569127844,3168188
Malayalam,is_like,videofeed,0.9034882144009441,505405
Malayalam,is_like,profilepost,0.8943240811593456,251402
Malayalam,is_like,trendingfeed,0.9112718641801325,461810
Malayalam,is_like,videofeed_suggested,0.9184207347549987,6348368
Malayalam,is_like,trendingfeed_suggested,0.9269757773468892,17344798
Malayalam,is_vp_skip,profilepost,0.7139211543594997,372680
