Language,Rating Definition,mapping,referrer_auc,no_referrer_auc,number_of_samples,refferer
Punjabi,is_vp_succ,3531454,0.8137729454225077,0.8123928375590485,92487361,trendingfeed_suggested
Punjabi,is_vp_succ,3531451,0.8006358397282194,0.7972366013534133,92487361,profilepost
Punjabi,is_vp_succ,3531452,0.7742108925572512,0.7738164437485158,92487361,tagfeed
Punjabi,is_vp_succ,3531449,0.8014544547863441,0.8017324927942908,92487361,bucket
Punjabi,is_vp_succ,3531450,0.7992111061783238,0.8004334330574279,92487361,others
Punjabi,is_vp_succ,3531455,0.8020201151644824,0.7844995369334041,92487361,videofeed
Punjabi,is_vp_succ,3531453,0.8340323834279912,0.8233006793235917,92487361,trendingfeed
Punjabi,is_vp_succ,3531456,0.8128129541747124,0.811291834074178,92487361,videofeed_suggested
Punjabi,is_like,1952853,0.9185075595817213,0.9177000250911764,72486563,trendingfeed_suggested
Punjabi,is_like,1952850,0.8670983202105031,0.8643504382854811,72486563,profilepost
Punjabi,is_like,1952852,0.9025872533389416,0.8980774627040758,72486563,trendingfeed
Punjabi,is_like,1952848,0.910407346912844,0.9095822090794382,72486563,bucket
Punjabi,is_like,1952855,0.9076057216925396,0.9062321760720595,72486563,videofeed_suggested
Punjabi,is_like,1952849,0.9050590174026362,0.9045464074803676,72486563,others
Punjabi,is_like,1952851,0.9023595024252918,0.9002130440392226,72486563,tagfeed
Punjabi,is_like,1952854,0.8990623969847198,0.8933283081523767,72486563,videofeed
Punjabi,is_vp_skip,4021918,0.7129024343094871,0.7083945579020932,95599736,trendingfeed_suggested
Punjabi,is_vp_skip,4021916,0.698120917689309,0.6953547379391334,95599736,tagfeed
Punjabi,is_vp_skip,4021914,0.7056274080935372,0.7042026407504399,95599736,others
Punjabi,is_vp_skip,4021919,0.6646964657549337,0.6351931067049867,95599736,videofeed
Punjabi,is_vp_skip,4021913,0.7083699733836861,0.7075264032032061,95599736,bucket
Punjabi,is_vp_skip,4021917,0.7245174315030971,0.6958620951933546,95599736,trendingfeed
Punjabi,is_vp_skip,4021915,0.6871733058943272,0.6718473524466572,95599736,profilepost
Punjabi,is_vp_skip,4021920,0.7039126556161154,0.6998211589259666,95599736,videofeed_suggested
Punjabi,is_vp_succ2,3633357,0.795230812528042,0.7926515906963205,95034751,trendingfeed_suggested
Punjabi,is_vp_succ2,3633354,0.7869965649557051,0.7819797233749985,95034751,profilepost
Punjabi,is_vp_succ2,3633355,0.7809542579802085,0.78025791772275,95034751,tagfeed
Punjabi,is_vp_succ2,3633353,0.7807042544158624,0.7817823137289016,95034751,others
Punjabi,is_vp_succ2,3633356,0.7796719214824537,0.767128685656916,95034751,trendingfeed
Punjabi,is_vp_succ2,3633359,0.7929648229086617,0.7908671241522591,95034751,videofeed_suggested
Punjabi,is_vp_succ2,3633358,0.7713877487171834,0.7548091108548033,95034751,videofeed
Punjabi,is_vp_succ2,3633352,0.7880224381519856,0.7875787657034784,95034751,bucket
Bengali,is_vp_succ,1974602,0.8207222677523857,0.8198337667663018,30559663,profilepost
Bengali,is_vp_succ,1974603,0.8005293815330263,0.8002365524558404,30559663,tagfeed
Bengali,is_vp_succ,1974606,0.8298980112001033,0.8215151995798301,30559663,videofeed
Bengali,is_vp_succ,1974604,0.8435201602113408,0.8357211184257446,30559663,trendingfeed
Bengali,is_vp_succ,1974605,0.8296881532937763,0.8286354491603275,30559663,trendingfeed_suggested
Bengali,is_vp_succ,1974600,0.8203254442727194,0.8202390429461659,30559663,bucket
Bengali,is_vp_succ,1974607,0.8421786957085203,0.8405600994306326,30559663,videofeed_suggested
Bengali,is_vp_succ,1974601,0.8175839578123101,0.8188698609575374,30559663,others
Bengali,is_like,811411,0.8847589828361969,0.8854191828042359,21279838,profilepost
Bengali,is_like,811412,0.9085831152367787,0.9074181500231043,21279838,tagfeed
Bengali,is_like,811415,0.890424755004583,0.8870353078361639,21279838,videofeed
Bengali,is_like,811410,0.9008881096061637,0.9003409998542181,21279838,others
