User Context,Content Type,Language,Action Type,Bucket,Num Bucket Samples,AUC score,AUC score - User Level,NDCG@5 Score - User Level,NDCG@10 Score - User Level,MAPK@5 score - User Level,MAPK@10 score - User Level
price,video,Hindi,vplay2,1,6841216,0.7717333185050684,0.7329352687842821,0.6356111220019085,0.6766040128600278,0.5406051805555684,0.5571550874275671
price,video,Hindi,vplay2,2,10872774,0.7793937827938928,0.7379162702033176,0.6136779242305593,0.6537413576473688,0.5175046527777886,0.5313316566673001
price,video,Hindi,vplay2,3,14854385,0.7856916804256162,0.7377149250302536,0.5985313878937868,0.6413549747740787,0.5013833194444539,0.5160877169863328
price,video,Hindi,vplay2,4,21658195,0.7925121900042014,0.7420023258174053,0.5891391549202597,0.6295510840001179,0.49057240277778735,0.5028927687074831
price,video,Hindi,vplay2,5,30871760,0.7985227611901289,0.7463429516975114,0.5847720761252756,0.6241931470445006,0.4862690000000129,0.49602605166603697
price,video,Hindi,vplay2,6,42487280,0.8038709930359097,0.7477575210097025,0.5760986699911812,0.6119046513877402,0.475180694444454,0.48065180960254567
price,video,Hindi,vplay2,7,59817243,0.8079108635876495,0.7515382903625406,0.5680438032029684,0.6009194451735493,0.46615912500001505,0.46699458427028384
price,video,Hindi,vplay2,8,92092206,0.8115934621697994,0.75780799928162,0.5628950521111821,0.5871005399052547,0.45966533333334675,0.45115244571995383
price,video,Hindi,vplay2,9,143347383,0.8146533477483833,0.7635592780603222,0.5478430446932171,0.5613829776116313,0.44234248611112814,0.42132766073003586
price,video,Hindi,vplay2,10,345662923,0.8180816551139753,0.7654783292447734,0.5240194027310142,0.5211886072288082,0.41478502777779985,0.3765550178886394
